name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.68,32.61",2024-12-08T00:00:00,15.0,15.0,13.9,92.91,0.0,0,,0,0,16.6,7.1,69.0,1017.0,84.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T01:00:00,14.1,14.1,12.9,92.21,0.0,0,,0,0,17.6,11.8,56.0,1017.0,5.7,10.0,0.0,0.0,0.0,,Clear,clear-night,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T02:00:00,13.8,13.8,12.8,93.76,0.0,0,,0,0,17.6,8.9,6.0,1017.3,10.0,31.8,0.0,0.0,0.0,,Clear,clear-night,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T03:00:00,13.1,13.1,12.7,96.98,0.0,0,,0,0,21.2,10.5,57.0,1017.0,0.2,10.0,0.0,0.0,0.0,,Clear,clear-night,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T04:00:00,14.9,14.9,13.6,92.37,0.0,0,,0,0,22.7,31.8,312.0,1017.9,88.0,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T05:00:00,14.1,14.1,13.0,93.37,0.0,0,,0,0,23.8,21.9,336.0,1018.3,81.4,6.6,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"LCRA,RCLKYXB,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T06:00:00,14.0,14.0,12.8,92.21,0.0,0,,0,0,25.6,6.9,9.0,1018.9,88.4,9.1,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T07:00:00,14.1,14.1,12.6,90.75,0.0,0,,0,0,20.5,11.3,54.0,1018.0,18.2,10.0,5.0,0.0,0.0,,Clear,clear-day,"LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T08:00:00,14.2,14.2,12.4,89.23,5.645,100,rain,0,0,20.2,10.2,53.0,1018.6,84.4,17.1,81.0,0.3,1.0,,"Rain, Partially cloudy",rain,"17507099999,LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
"34.68,32.61",2024-12-08T09:00:00,15.1,15.1,12.6,84.99,0.0,0,,0,0,17.6,7.0,69.0,1018.9,55.5,10.0,336.0,1.2,3.0,,Partially cloudy,partly-cloudy-day,"17507099999,LCRA,17601099999,F1785,LCPH,17505099999,17600099999"
