student_id,gender,age,study_hours_per_week,attendance_rate,parent_education,internet_access,extracurricular,previous_score,final_score,passed
STU0001,Male,15,25,63.8,Bachelor,Yes,Yes,41,67,Yes
STU0002,Female,15,2,54.7,Bachelor,Yes,Yes,83,28,No
STU0003,Female,19,10,90.5,High School,Yes,No,73,49,No
STU0004,Male,16,26,66.8,High School,No,Yes,75,70,Yes
STU0005,Female,15,25,73.0,High School,No,Yes,67,77,Yes
STU0006,Female,19,8,85.2,High School,Yes,No,40,37,No
STU0007,Male,18,10,72.7,Master,Yes,No,75,42,No
STU0008,Female,15,21,81.7,None,Yes,Yes,89,70,Yes
STU0009,Female,19,9,84.2,High School,Yes,Yes,70,49,No
STU0010,Female,15,8,95.7,None,No,Yes,93,56,Yes
STU0011,Female,16,10,57.0,None,No,No,81,44,No
STU0012,Male,16,18,74.7,High School,Yes,Yes,50,69,Yes
STU0013,Female,19,4,69.2,None,No,No,31,38,No
STU0014,Male,19,26,63.3,Master,Yes,No,85,64,Yes
STU0015,Female,15,25,93.8,Master,Yes,Yes,68,84,Yes
STU0016,Male,16,13,88.1,None,Yes,No,92,49,No
STU0017,Male,17,30,99.3,Master,Yes,Yes,60,89,Yes
STU0018,Male,15,25,74.3,High School,Yes,Yes,90,79,Yes
STU0019,Male,17,18,93.6,PhD,Yes,Yes,69,65,Yes
STU0020,Female,18,30,75.9,High School,Yes,Yes,38,70,Yes
STU0021,Male,19,19,61.5,Bachelor,Yes,Yes,37,46,No
STU0022,Male,15,29,66.5,None,Yes,No,92,72,Yes
STU0023,Male,19,20,73.6,PhD,No,Yes,42,48,No
STU0024,Female,17,15,70.6,High School,Yes,Yes,81,67,Yes
STU0025,Female,15,9,59.6,None,No,Yes,84,38,No
STU0026,Female,18,9,93.7,High School,No,Yes,36,53,Yes
STU0027,Male,15,26,92.4,Bachelor,No,No,91,75,Yes
STU0028,Female,15,7,68.9,PhD,No,No,66,42,No
STU0029,Female,16,8,64.8,High School,Yes,No,37,24,No
STU0030,Female,19,29,76.6,High School,Yes,Yes,38,78,Yes
STU0031,Male,16,14,56.0,None,Yes,Yes,40,43,No
STU0032,Female,17,8,83.5,Master,Yes,No,80,42,No
STU0033,Female,18,12,96.5,High School,Yes,No,42,42,No
STU0034,Male,19,10,56.6,Master,Yes,Yes,77,41,No
STU0035,Male,18,28,77.2,Master,Yes,No,43,62,Yes
STU0036,Female,15,30,55.4,None,Yes,No,66,78,Yes
STU0037,Male,17,8,84.4,Master,No,No,36,31,No
STU0038,Female,17,3,50.2,Bachelor,No,Yes,86,38,No
STU0039,Female,19,2,55.6,Bachelor,Yes,No,48,27,No
