ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA
42308,ICE,Female,2010,3.23,2.88,3.48,2.62,2.90,3.13
70978,BCH,Female,2010,3.58,3.25,4.26,3.37,3.47,3.02
31602,BCH,Male,2010,2.21,1.78,1.98,1.49,2.51,2.19
63847,BCH,Male,2010,2.70,2.67,2.44,2.00,2.35,3.19
30158,BCH,Female,2010,3.88,3.61,3.69,3.63,4.58,4.24
51740,BCH,Male,2010,2.97,2.66,2.98,3.28,3.07,3.13
76075,BCH,Male,2010,3.34,3.68,3.00,3.44,3.28,3.02
60888,BCH,Female,2010,2.56,2.30,2.50,2.29,2.77,2.68
43378,BCH,Male,2010,3.76,3.30,3.64,3.88,4.37,3.13
80307,BCH,Female,2010,3.96,3.94,3.89,3.81,4.17,3.98
82483,BCH,Female,2010,3.99,3.83,4.06,3.56,4.40,4.11
40021,BCH,Male,2010,3.02,2.94,3.02,3.00,3.13,2.92
54093,BCH,Female,2010,4.99,5.00,4.98,5.00,5.00,4.14
87694,BCH,Female,2010,3.30,3.85,3.26,2.56,3.28,3.13
36750,BCH,Female,2010,4.44,4.32,4.28,4.53,4.71,2.89
33891,BCH,Female,2010,4.22,4.02,4.18,4.19,4.51,2.50
59057,BCH,Male,2010,3.61,4.02,3.55,3.34,3.45,3.04
72189,BCH,Female,2010,3.92,3.74,3.98,3.69,4.20,3.54
81428,BCH,Male,2010,3.29,3.40,2.37,3.91,4.00,2.55
93847,BCH,Male,2011,3.77,3.89,3.51,3.84,3.88,3.13
60462,BCH,Female,2011,3.86,3.45,3.63,3.90,4.59,3.59
89501,BCH,Female,2011,4.40,4.04,4.38,4.52,4.73,3.52
95498,BCH,Female,2011,3.41,3.00,3.48,3.42,3.76,3.13
48552,BCH,Female,2011,4.14,3.34,4.55,4.39,4.41,4.22
77591,BCH,Female,2011,4.59,4.34,4.70,4.74,4.63,3.52
68825,BCH,Female,2011,3.98,3.79,4.26,3.65,4.12,2.99
67261,BCH,Male,2011,2.69,2.49,2.62,2.52,3.06,3.36
47144,BCH,Female,2011,4.05,3.66,4.17,4.03,4.37,3.36
85814,BCH,Female,2011,3.64,3.32,3.45,4.16,3.86,2.66
69531,BCH,Female,2011,4.27,4.28,4.21,4.52,4.12,4.03
79884,BCH,Male,2011,2.63,2.98,2.56,2.32,2.60,2.81
45410,BCH,Female,2011,4.58,4.28,4.74,4.71,4.63,3.83
60050,BCH,Female,2011,2.70,2.74,2.37,2.85,2.88,3.13
76544,BCH,Female,2011,2.83,2.94,2.51,2.68,3.17,3.30
39674,BCH,Female,2011,3.90,3.62,3.81,3.94,4.32,3.66
60321,BCH,Female,2011,4.03,3.74,3.89,4.29,4.30,4.06
51531,BCH,Female,2011,3.89,3.32,4.13,4.15,3.89,2.95
90431,BCH,Male,2011,3.76,3.91,3.68,3.55,3.83,2.89
85661,BCH,Female,2011,3.56,3.66,3.31,3.71,3.63,3.54
29174,BCH,Female,2011,3.70,3.60,3.38,4.00,3.98,3.36
51383,BCH,Female,2011,3.41,3.36,3.18,3.19,3.86,3.05
75401,BCH,Male,2011,2.83,2.79,2.25,3.06,3.46,2.73
56392,BCH,Female,2011,4.17,3.98,4.17,4.45,4.17,2.57
25220,BCH,Female,2011,3.26,3.28,3.17,3.13,3.42,3.59
96366,BCH,Female,2011,2.62,2.60,2.34,2.29,3.14,3.44
42908,BCH,Female,2011,2.72,3.13,2.51,2.23,2.84,2.85
66373,BCH,Female,2011,4.70,4.30,4.72,4.94,4.95,4.45
50580,BCH,Male,2011,3.31,3.28,3.14,3.42,3.45,2.97
94666,BCH,Female,2011,4.01,4.00,3.61,3.97,4.52,3.83
31083,BCH,Male,2011,2.49,2.89,1.94,2.45,2.84,3.05
53806,BCH,Male,2011,3.21,3.30,2.84,3.45,3.44,3.56
87210,BCH,Female,2011,2.97,2.70,2.65,3.26,3.28,2.97
63782,BCH,Female,2011,4.02,3.43,4.12,4.35,4.34,2.95
94070,BCH,Female,2011,3.85,3.47,3.68,3.64,4.43,3.75
44700,BCH,Female,2011,3.24,2.98,3.05,3.23,3.77,2.77
77630,BCH,Female,2011,2.93,2.87,2.47,3.00,3.32,3.36
52334,BCH,Male,2011,2.84,3.47,2.67,2.13,2.90,2.86
41007,BCH,Female,2011,3.66,3.30,4.00,3.32,3.89,3.13
26773,BCH,Female,2011,2.92,2.43,2.46,2.81,3.86,2.50
76637,BCH,Female,2011,2.89,2.64,3.06,2.88,2.97,2.85
66754,BCH,Female,2011,4.18,3.62,4.46,3.85,4.56,3.93
36874,BCH,Female,2011,4.10,3.47,4.34,4.35,4.37,3.36
48459,BCH,Female,2012,3.54,3.71,3.46,3.81,3.23,2.78
69939,BCH,Female,2012,4.65,4.72,4.52,4.68,4.71,4.44
33742,BCH,Female,2012,2.51,2.72,1.96,2.61,2.72,2.86
34327,BCH,Female,2012,3.18,3.17,2.94,3.32,3.33,2.58
77803,BCH,Female,2012,2.73,3.26,2.62,3.00,2.22,2.89
79182,BCH,Male,2012,2.99,3.33,2.76,3.00,2.80,3.26
74121,BCH,Female,2012,2.70,2.78,2.47,2.42,2.84,3.44
68121,BCH,Female,2012,2.72,2.78,2.56,2.68,2.57,3.28
56856,BCH,Female,2013,2.18,2.76,1.93,2.81,1.80,2.78
78395,BCH,Male,2012,2.78,3.46,2.74,2.55,2.32,3.44
62002,BCH,Female,2012,2.48,2.61,2.57,2.32,2.38,2.46
34280,BCH,Female,2012,3.35,3.26,3.30,3.39,3.46,3.13
58040,BCH,Female,2012,4.24,4.20,4.22,4.39,4.22,3.54
48071,BCH,Female,2012,2.57,3.04,2.50,2.55,2.30,2.17
68279,BCH,Female,2012,4.65,4.43,4.70,4.68,4.80,4.38
32512,BCH,Female,2012,4.36,4.28,4.41,4.26,4.46,3.89
23893,BCH,Male,2012,3.29,3.28,2.85,3.23,3.73,2.64
40002,BCH,Female,2012,3.42,3.67,3.17,3.68,3.21,2.69
32972,BCH,Male,2012,2.50,2.85,2.38,2.45,2.35,2.29
36440,BCH,Female,2012,3.37,3.59,3.36,3.39,3.12,3.36
40727,BCH,Female,2012,3.72,3.85,3.43,3.68,3.93,3.30
74956,BCH,Female,2013,2.32,2.52,1.97,1.97,2.59,2.67
72281,BCH,Male,2012,3.13,3.30,2.85,3.32,2.98,3.47
94807,BCH,Male,2012,3.17,3.50,3.02,2.94,3.16,3.21
89200,BCH,Female,2012,3.51,3.41,3.48,3.48,3.64,3.05
96620,BCH,Female,2013,1.91,2.13,1.84,2.23,1.74,2.77
28959,BCH,Female,2012,2.84,3.33,2.80,2.90,2.42,2.66
81977,BCH,Female,2012,3.51,3.93,3.09,3.45,3.53,3.06
47255,BCH,Female,2012,3.40,3.15,3.46,3.55,3.32,3.36
44321,BCH,Female,2012,3.76,3.83,3.94,3.90,3.34,3.13
25299,BCH,Female,2012,4.04,4.30,4.06,4.26,3.56,3.26
89035,BCH,Male,2012,4.02,4.43,4.07,3.87,3.61,3.83
88657,BCH,Female,2012,2.88,2.96,3.09,2.87,2.67,3.21
34754,BCH,Female,2014,2.28,2.83,2.58,2.15,1.80,2.66
52769,BCH,Male,2013,2.98,2.73,3.47,2.13,3.25,2.08
71184,BCH,Female,2013,4.35,4.35,4.52,3.94,4.49,3.13
62114,BCH,Female,2013,3.17,2.90,3.23,3.06,3.46,2.50
27991,BCH,Female,2013,4.36,4.48,4.46,3.74,4.59,3.52
65831,BCH,Female,2013,3.33,3.31,3.19,3.23,3.58,2.92
62549,BCH,Female,2013,4.75,4.79,4.65,4.71,4.85,3.96
66742,BCH,Female,2013,2.43,2.60,2.47,2.26,2.38,2.08
60254,BCH,Female,2013,3.98,4.17,3.91,3.48,4.23,3.26
89412,BCH,Female,2013,3.80,4.08,3.43,3.55,4.08,2.92
76310,BCH,Female,2013,2.88,2.92,3.08,3.23,2.44,2.89
65128,BCH,Female,2013,3.87,4.06,3.72,3.65,3.97,3.13
39732,BCH,Female,2013,4.30,4.25,4.28,4.16,4.51,3.54
70319,BCH,Female,2013,3.99,3.79,4.06,3.71,4.35,2.50
65473,BCH,Female,2013,4.13,4.17,4.13,4.00,4.21,2.42
61668,BCH,Female,2013,3.65,3.35,3.59,3.48,4.23,3.38
55446,BCH,Male,2013,2.63,3.10,2.60,2.84,2.22,2.66
73235,BCH,Male,2013,4.11,4.33,4.30,3.39,4.18,2.71
73918,BCH,Female,2013,3.56,3.56,3.32,3.10,4.14,2.71
36603,BCH,Female,2013,4.55,4.65,4.35,4.48,4.74,2.36
40934,BCH,Male,2013,3.74,3.85,3.93,2.74,4.11,2.95
62591,BCH,Female,2013,4.23,3.96,4.22,4.03,4.72,4.38
44387,BCH,Female,2013,4.15,4.08,4.22,3.84,4.41,4.14
25727,BCH,Female,2013,3.28,3.15,3.65,2.71,3.45,3.54
33165,BCH,Female,2013,4.30,4.08,4.43,4.16,4.54,3.82
30063,BCH,Female,2013,4.04,3.73,4.04,3.94,4.51,3.54
26083,BCH,Female,2013,4.19,3.85,4.06,4.45,4.56,3.68
45732,BCH,Female,2013,2.55,1.73,2.40,2.61,3.30,2.57
80688,BCH,Male,2013,2.82,2.88,2.89,2.39,3.00,3.83
62099,BCH,Female,2013,3.26,3.79,3.18,2.35,3.39,2.42
27055,BCH,Female,2013,4.33,4.38,4.15,4.32,4.49,2.43
76642,BCH,Female,2013,3.87,3.98,3.61,3.55,4.28,3.19
25569,BCH,Female,2013,3.19,3.27,3.29,2.65,3.38,1.76
