dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,9.2,10000,1.13,7.81,9.08,9.36,1027,,,57,2.6,20,0,,,,,20,801,Clouds,few clouds,02n
1672534800,2023-01-01 01:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,8.3,10000,1.23,7.67,8.29,9.36,1026,,,61,1.54,0,,,,,,0,800,Clear,sky is clear,01n
1672538400,2023-01-01 02:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,8.3,9999,2.33,6.74,8.29,9.36,1026,,,66,2.6,70,0,,,,,0,800,Clear,sky is clear,01n
1672542000,2023-01-01 03:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,8.3,10000,2.33,6.41,8.29,14.36,1026,,,66,3.1,70,0,,,,,20,801,Clouds,few clouds,02n
1672545600,2023-01-01 04:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,9.3,9999,2.17,7.61,9.29,14.36,1026,,,61,3.1,20,0,,,,,20,801,Clouds,few clouds,02n
1672549200,2023-01-01 05:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,8.3,9999,2.33,7.13,8.29,14.48,1026,,,66,2.1,20,0,,,,,20,801,Clouds,few clouds,02d
1672552800,2023-01-01 06:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,10.25,10000,3.97,9.03,10.22,15.36,1027,,,65,3.09,70,,,,,,20,801,Clouds,few clouds,02d
1672556400,2023-01-01 07:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,14.3,9999,5.13,13.2,14.29,16.36,1027,,,54,0,0,0,,,,,20,801,Clouds,few clouds,02d
1672560000,2023-01-01 08:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,17.28,9999,5.25,16.24,16.21,17.36,1027,,,45,0,0,0,,,,,20,801,Clouds,few clouds,02d
1672563600,2023-01-01 09:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,18.33,10000,4.86,17.29,17.32,18.42,1027,,,41,2.1,190,0,,,,,20,801,Clouds,few clouds,02d
1672567200,2023-01-01 10:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,18.3,9999,5.18,17.28,18.29,18.58,1026,,,42,2.1,250,0,,,,,20,801,Clouds,few clouds,02d
1672570800,2023-01-01 11:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,18.32,9999,6.19,17.38,18.29,19.54,1025,,,45,2.1,260,0,,,,,20,801,Clouds,few clouds,02d
1672574400,2023-01-01 12:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,18.17,10000,5.73,17.19,18.02,19.36,1025,,,44,2.1,300,0,,,,,20,801,Clouds,few clouds,02d
1672578000,2023-01-01 13:00:00 +0000 UTC,7200,Custom location,34.68454,32.611395,17.33,9999,6.23,16.37,17.29,18.98,1025,,,48,2.6,330,0,,,,,20,801,Clouds,few clouds,02d
