name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.69741074283549, 32.612644527285106",2024-07-08T01:00:00,28.8,29.4,17.4,50.28,0,0,,0,0,25.6,3.4,343,1003.1,13,10.7,0,0,0,,Clear,clear-night,"LCRA,RCLKYXB,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T02:00:00,27.7,29.5,20.4,64.69,0,0,,0,0,24.5,3.8,5,1001.9,0,10,0,0,0,,Clear,clear-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T03:00:00,26.8,28.7,21.3,71.87,0,0,,0,0,25.2,4.1,1,1001,0,10,0,0,0,,Clear,clear-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T04:00:00,25.8,25.8,21.3,76.24,0,0,,0,0,24.8,3.8,356,1001,25,10,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T05:00:00,24.2,24.2,20.5,80.15,0,0,,0,0,25.2,7.8,330,1002.2,25,10.7,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,RCLKYXB,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T06:00:00,25.8,25.8,22,79.22,0,0,,0,0,25.9,8.9,310,1001,25,10,14,0.1,0,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T07:00:00,26.8,29.3,23,79.35,0,0,,0,0,25.2,7.6,296,1001,0,10,162,0.6,2,,Clear,clear-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T08:00:00,28.2,32.7,24.6,80.75,0,0,,0,0,23,10.2,309,1001,0,10,360,1.3,4,,Clear,clear-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T09:00:00,29.3,34.2,24.1,73.43,0,0,,0,0,14,10.9,238,1002,0.9,10,559,2,6,,Clear,clear-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T10:00:00,30.3,36.7,25,73.05,0,0,,0,0,13.7,11.4,238,1002,25,10,571,2.1,6,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T11:00:00,30.2,38.1,26.2,79.24,0,0,,0,0,9,8.2,236,1002,25,10,858,3.1,9,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T12:00:00,31.3,39.7,26.1,73.76,0,0,,0,0,8.6,10.9,238,1002.9,25,10,942,3.4,9,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T13:00:00,31.1,39.7,26.3,75.93,0,0,,0,0,9,9.6,244,1003,25,10,962,3.5,10,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T14:00:00,32.2,41.5,26.3,71.23,0,0,,0,0,10.4,10.9,219,1003,25,10,909,3.3,9,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T15:00:00,30.3,40.2,27.5,84.67,0,0,,0,0,8.6,14.3,166,1003,25,10,828,3,8,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T16:00:00,30.3,38.8,26.6,80.43,0,0,,0,0,9.7,9.6,186,1002,25,10,687,2.5,7,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T17:00:00,31.2,40.9,27,78.22,0,0,,0,0,7.6,8.5,204,1002,25,10,513,1.8,5,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T18:00:00,30.3,39.6,27.1,82.84,0,0,,0,0,9,8,179,1002,25,10,325,1.2,3,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T19:00:00,30.2,39.9,27.5,85.28,0,0,,0,0,9,4.3,260,1002,25,10,120,0.4,1,,Partially cloudy,partly-cloudy-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T20:00:00,28.1,35.5,27.7,97.84,0,0,,0,0,7.9,4.8,250,1002,0,7.4,7,0,0,,Clear,clear-day,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T21:00:00,28,35.1,27.7,98.56,0,0,,0,0,5,3.4,189,1002,25,5.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T22:00:00,27.1,31.9,26.8,98.55,0,0,,0,0,6.5,6.3,250,1002.9,25,5.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-08T23:00:00,27,31.6,26.8,99.27,0,0,,0,0,11.2,1.4,346,1002.9,50,5,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T00:00:00,27,31.6,26.8,99.27,0,0,,0,0,14.4,6.3,319,1002,28.1,4.1,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T01:00:00,25.2,25.2,25.1,99.26,0,0,,0,0,14.8,6.3,354,1002,88,4.6,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T02:00:00,26.1,26.1,21.6,76.28,0,0,,0,0,15.1,8,3,1002,32.8,8.9,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T03:00:00,25.9,25.9,19.8,68.99,0,0,,0,0,14.4,3.8,8,1001,100,8.9,0,0,0,,Overcast,cloudy,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T04:00:00,25.9,25.9,18.8,64.82,0,0,,0,0,13,0.4,6,1001,88,8.8,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T05:00:00,25.9,25.9,17.9,61.36,0,0,,0,0,10.4,1.2,12,1002,88,8.8,0,0,0,,Partially cloudy,partly-cloudy-night,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T06:00:00,25.8,25.8,18.8,65.3,0,0,,0,0,11.2,4.3,110,1002,98.5,8.9,14,0.1,0,,Overcast,cloudy,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T07:00:00,27.7,29.2,19.8,62.24,0,0,,0,0,13,7.3,101,1002,100,8.9,155,0.6,2,,Overcast,cloudy,"LCRA,F1785,LCPH"
"34.69741074283549, 32.612644527285106",2024-07-09T08:00:00,27.7,30.9,23.2,76.53,0,0,,0,0,13.7,7.3,136,1003,100,8.9,348,1.3,3,,Overcast,cloudy,"LCRA,F1785,LCPH"
